Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1742730221,2025-03-23T11:43:41Z,QTR276,"52.312683,4.760914",0,0,109
1742730285,2025-03-23T11:44:45Z,QTR276,"52.312717,4.760704",0,4,112
1742730294,2025-03-23T11:44:54Z,QTR276,"52.312798,4.760418",0,6,109
1742730300,2025-03-23T11:45:00Z,QTR276,"52.312916,4.7602",0,6,90
1742730307,2025-03-23T11:45:07Z,QTR276,"52.312992,4.759998",0,5,67
1742730311,2025-03-23T11:45:11Z,QTR276,"52.31303,4.759788",0,5,42
1742730317,2025-03-23T11:45:17Z,QTR276,"52.313019,4.759572",0,4,16
1742730333,2025-03-23T11:45:33Z,QTR276,"52.312775,4.759415",0,4,2
1742730621,2025-03-23T11:50:21Z,QTR276,"52.313004,4.759369",0,7,357
1742730629,2025-03-23T11:50:29Z,QTR276,"52.313301,4.75935",0,10,357
1742730636,2025-03-23T11:50:36Z,QTR276,"52.313667,4.759312",0,11,357
1742730643,2025-03-23T11:50:43Z,QTR276,"52.313999,4.759274",0,12,357
1742730650,2025-03-23T11:50:50Z,QTR276,"52.314365,4.759331",0,10,8
1742730655,2025-03-23T11:50:55Z,QTR276,"52.314503,4.759617",0,11,36
1742730659,2025-03-23T11:50:59Z,QTR276,"52.314522,4.759964",0,10,64
1742730664,2025-03-23T11:51:04Z,QTR276,"52.314514,4.760342",0,10,81
1742730667,2025-03-23T11:51:07Z,QTR276,"52.314514,4.760571",0,11,84
1742730670,2025-03-23T11:51:10Z,QTR276,"52.314522,4.760808",0,11,87
1742730673,2025-03-23T11:51:13Z,QTR276,"52.314526,4.761009",0,11,87
1742730676,2025-03-23T11:51:16Z,QTR276,"52.314545,4.761298",0,12,87
1742730679,2025-03-23T11:51:19Z,QTR276,"52.314556,4.761631",0,12,87
1742730684,2025-03-23T11:51:24Z,QTR276,"52.314568,4.762103",0,13,87
1742730689,2025-03-23T11:51:29Z,QTR276,"52.314579,4.762534",0,13,87
1742730699,2025-03-23T11:51:39Z,QTR276,"52.314617,4.763584",0,14,87
1742730706,2025-03-23T11:51:46Z,QTR276,"52.314636,4.764457",0,15,87
1742730718,2025-03-23T11:51:58Z,QTR276,"52.314697,4.765835",0,0,87
1742730727,2025-03-23T11:52:07Z,QTR276,"52.314732,4.766987",0,0,87
1742730735,2025-03-23T11:52:15Z,QTR276,"52.314754,4.767635",0,17,87
1742730742,2025-03-23T11:52:22Z,QTR276,"52.3148,4.76902",0,18,87
1742730753,2025-03-23T11:52:33Z,QTR276,"52.314846,4.770401",0,15,87
1742730765,2025-03-23T11:52:45Z,QTR276,"52.314892,4.77148",0,8,87
1742730771,2025-03-23T11:52:51Z,QTR276,"52.314915,4.771786",0,6,81
1742730778,2025-03-23T11:52:58Z,QTR276,"52.315086,4.772015",0,7,53
1742730784,2025-03-23T11:53:04Z,QTR276,"52.315292,4.772072",0,8,28
1742730790,2025-03-23T11:53:10Z,QTR276,"52.315521,4.772088",0,7,11
1742730797,2025-03-23T11:53:17Z,QTR276,"52.315693,4.772301",0,7,30
1742730804,2025-03-23T11:53:24Z,QTR276,"52.315796,4.772682",0,8,56
1742730808,2025-03-23T11:53:28Z,QTR276,"52.31583,4.772911",0,9,67
1742730811,2025-03-23T11:53:31Z,QTR276,"52.315853,4.77314",0,9,73
1742730815,2025-03-23T11:53:35Z,QTR276,"52.315918,4.773422",0,10,70
1742730819,2025-03-23T11:53:39Z,QTR276,"52.315998,4.773638",0,11,64
1742730822,2025-03-23T11:53:42Z,QTR276,"52.316093,4.773865",0,11,59
1742730825,2025-03-23T11:53:45Z,QTR276,"52.316208,4.774109",0,12,56
1742730829,2025-03-23T11:53:49Z,QTR276,"52.316349,4.774442",0,12,56
1742730842,2025-03-23T11:54:02Z,QTR276,"52.316769,4.775467",0,14,56
1742730848,2025-03-23T11:54:08Z,QTR276,"52.317009,4.776058",0,0,56
1742730855,2025-03-23T11:54:15Z,QTR276,"52.317268,4.776659",0,11,53
1742730861,2025-03-23T11:54:21Z,QTR276,"52.31749,4.776895",0,11,36
1742730866,2025-03-23T11:54:26Z,QTR276,"52.317745,4.776973",0,12,16
1742730871,2025-03-23T11:54:31Z,QTR276,"52.317959,4.776974",0,11,8
1742730874,2025-03-23T11:54:34Z,QTR276,"52.318199,4.776993",0,12,2
1742730878,2025-03-23T11:54:38Z,QTR276,"52.318405,4.776993",0,12,2
1742730883,2025-03-23T11:54:43Z,QTR276,"52.318703,4.777031",0,12,2
1742730887,2025-03-23T11:54:47Z,QTR276,"52.318954,4.77705",0,12,2
1742730892,2025-03-23T11:54:52Z,QTR276,"52.319183,4.777069",0,11,2
1742730906,2025-03-23T11:55:06Z,QTR276,"52.319572,4.777091",0,3,2
1742730919,2025-03-23T11:55:19Z,QTR276,"52.319836,4.777126",0,6,2
1742730930,2025-03-23T11:55:30Z,QTR276,"52.320152,4.777307",0,8,19
1742730940,2025-03-23T11:55:40Z,QTR276,"52.320351,4.77764",0,5,39
1742731021,2025-03-23T11:57:01Z,QTR276,"52.320503,4.777875",0,3,42
1742731031,2025-03-23T11:57:11Z,QTR276,"52.320641,4.778091",0,5,42
1742731042,2025-03-23T11:57:22Z,QTR276,"52.320839,4.778366",0,4,42
1742731106,2025-03-23T11:58:26Z,QTR276,"52.321014,4.778602",0,4,42
1742731119,2025-03-23T11:58:39Z,QTR276,"52.321247,4.778935",0,6,42
1742731125,2025-03-23T11:58:45Z,QTR276,"52.321293,4.77921",0,7,59
1742731133,2025-03-23T11:58:53Z,QTR276,"52.321281,4.7797",0,9,87
1742731136,2025-03-23T11:58:56Z,QTR276,"52.321232,4.779911",0,9,98
1742731150,2025-03-23T11:59:10Z,QTR276,"52.320728,4.780178",0,8,168
1742731159,2025-03-23T11:59:19Z,QTR276,"52.320477,4.780102",0,2,182
1742731275,2025-03-23T12:01:15Z,QTR276,"52.3195,4.780014",0,38,182
1742731288,2025-03-23T12:01:28Z,QTR276,"52.315384,4.779625",0,92,182
1742731308,2025-03-23T12:01:48Z,QTR276,"52.303986,4.778595",225,92,183
1742731318,2025-03-23T12:01:58Z,QTR276,"52.296616,4.777756",625,154,183
1742731324,2025-03-23T12:02:04Z,QTR276,"52.292408,4.777405",850,153,183
1742731332,2025-03-23T12:02:12Z,QTR276,"52.286495,4.776777",1200,152,183
1742731341,2025-03-23T12:02:21Z,QTR276,"52.280548,4.776306",1525,153,182
1742731345,2025-03-23T12:02:25Z,QTR276,"52.277325,4.776306",1625,159,178
1742731347,2025-03-23T12:02:27Z,QTR276,"52.275833,4.776459",1650,162,176
1742731349,2025-03-23T12:02:29Z,QTR276,"52.2743,4.776777",1675,165,173
1742731351,2025-03-23T12:02:31Z,QTR276,"52.272903,4.777169",1700,170,169
1742731353,2025-03-23T12:02:33Z,QTR276,"52.271255,4.777832",1725,173,165
1742731355,2025-03-23T12:02:35Z,QTR276,"52.269737,4.77866",1750,178,160
1742731357,2025-03-23T12:02:37Z,QTR276,"52.267731,4.780045",1775,182,155
1742731360,2025-03-23T12:02:40Z,QTR276,"52.26622,4.781342",1800,186,151
1742731362,2025-03-23T12:02:42Z,QTR276,"52.264893,4.782791",1825,190,145
1742731364,2025-03-23T12:02:44Z,QTR276,"52.263172,4.785017",1875,194,141
1742731366,2025-03-23T12:02:46Z,QTR276,"52.261776,4.787136",1925,197,136
1742731368,2025-03-23T12:02:48Z,QTR276,"52.26059,4.789276",1975,198,132
1742731370,2025-03-23T12:02:50Z,QTR276,"52.259495,4.791687",2050,200,126
1742731372,2025-03-23T12:02:52Z,QTR276,"52.258564,4.79412",2125,202,120
1742731374,2025-03-23T12:02:54Z,QTR276,"52.257568,4.797134",2225,203,115
1742731376,2025-03-23T12:02:56Z,QTR276,"52.256889,4.799927",2325,203,111
1742731378,2025-03-23T12:02:58Z,QTR276,"52.256329,4.802987",2400,205,106
1742731380,2025-03-23T12:03:00Z,QTR276,"52.255783,4.806824",2500,207,101
1742731382,2025-03-23T12:03:02Z,QTR276,"52.255554,4.809189",2550,207,97
1742731384,2025-03-23T12:03:04Z,QTR276,"52.255306,4.812953",2600,208,94
1742731387,2025-03-23T12:03:07Z,QTR276,"52.255188,4.816208",2650,210,92
1742731389,2025-03-23T12:03:09Z,QTR276,"52.255165,4.819702",2700,210,90
1742731391,2025-03-23T12:03:11Z,QTR276,"52.255188,4.822159",2750,211,89
1742731393,2025-03-23T12:03:13Z,QTR276,"52.255215,4.826058",2800,211,88
1742731395,2025-03-23T12:03:15Z,QTR276,"52.25526,4.829354",2875,211,88
1742731397,2025-03-23T12:03:17Z,QTR276,"52.255325,4.832458",2925,212,88
1742731399,2025-03-23T12:03:19Z,QTR276,"52.255352,4.835868",2975,212,88
1742731401,2025-03-23T12:03:21Z,QTR276,"52.255398,4.838771",3025,212,88
1742731403,2025-03-23T12:03:23Z,QTR276,"52.255447,4.842145",3075,212,88
1742731405,2025-03-23T12:03:25Z,QTR276,"52.255493,4.845912",3125,212,89
1742731407,2025-03-23T12:03:27Z,QTR276,"52.255508,4.849625",3200,211,89
1742731409,2025-03-23T12:03:29Z,QTR276,"52.255493,4.852897",3250,211,89
1742731412,2025-03-23T12:03:32Z,QTR276,"52.255508,4.855957",3300,211,90
1742731418,2025-03-23T12:03:38Z,QTR276,"52.255447,4.865923",3450,211,90
1742731426,2025-03-23T12:03:46Z,QTR276,"52.255188,4.879761",3675,214,92
1742731435,2025-03-23T12:03:55Z,QTR276,"52.254795,4.893546",3900,226,92
1742731441,2025-03-23T12:04:01Z,QTR276,"52.254456,4.904404",4050,234,93
1742731449,2025-03-23T12:04:09Z,QTR276,"52.254002,4.918658",4225,247,93
1742731458,2025-03-23T12:04:18Z,QTR276,"52.253399,4.935843",4450,258,93
1742731464,2025-03-23T12:04:24Z,QTR276,"52.253025,4.947379",4700,260,93
