Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1742728168,2025-03-23T11:09:28Z,THY5VU,"52.312351,4.757919",0,0,267
1742728574,2025-03-23T11:16:14Z,THY5VU,"52.312332,4.758198",0,5,264
1742728583,2025-03-23T11:16:23Z,THY5VU,"52.312363,4.758492",0,4,267
1742728588,2025-03-23T11:16:28Z,THY5VU,"52.31242,4.758701",0,5,281
1742728595,2025-03-23T11:16:35Z,THY5VU,"52.312454,4.758949",0,5,303
1742728601,2025-03-23T11:16:41Z,THY5VU,"52.31245,4.759179",0,5,329
1742728608,2025-03-23T11:16:48Z,THY5VU,"52.312408,4.759388",0,3,354
1742728631,2025-03-23T11:17:11Z,THY5VU,"52.312626,4.759407",0,5,357
1742728640,2025-03-23T11:17:20Z,THY5VU,"52.312832,4.759376",0,4,357
1742728651,2025-03-23T11:17:31Z,THY5VU,"52.313053,4.759356",0,4,357
1742728945,2025-03-23T11:22:25Z,THY5VU,"52.313335,4.759331",0,0,357
1742728952,2025-03-23T11:22:32Z,THY5VU,"52.313564,4.759316",0,8,357
1742728960,2025-03-23T11:22:40Z,THY5VU,"52.313881,4.759277",0,9,357
1742728966,2025-03-23T11:22:46Z,THY5VU,"52.314102,4.759274",0,10,357
1742728972,2025-03-23T11:22:52Z,THY5VU,"52.314426,4.759513",0,12,22
1742728976,2025-03-23T11:22:56Z,THY5VU,"52.314522,4.759807",0,11,47
1742728984,2025-03-23T11:23:04Z,THY5VU,"52.314522,4.760415",0,10,84
1742728988,2025-03-23T11:23:08Z,THY5VU,"52.314526,4.760742",0,11,87
1742728993,2025-03-23T11:23:13Z,THY5VU,"52.314537,4.761124",0,11,87
1742728996,2025-03-23T11:23:16Z,THY5VU,"52.314548,4.761391",0,12,87
1742728998,2025-03-23T11:23:18Z,THY5VU,"52.31456,4.761696",0,13,87
1742729003,2025-03-23T11:23:23Z,THY5VU,"52.314579,4.762181",0,14,87
1742729006,2025-03-23T11:23:26Z,THY5VU,"52.314579,4.762436",0,14,87
1742729008,2025-03-23T11:23:28Z,THY5VU,"52.314579,4.762691",0,14,87
1742729017,2025-03-23T11:23:37Z,THY5VU,"52.314617,4.763699",0,15,87
1742729027,2025-03-23T11:23:47Z,THY5VU,"52.314671,4.764987",0,16,87
1742729040,2025-03-23T11:24:00Z,THY5VU,"52.314709,4.766445",0,18,87
